                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.33111,                 1.2575,                 3.2709,                 1.0144,                   0.36,                0.58333,                0.45141,                0.44687,                   0.36,                0.58333,                0.45141,                0.45141,                0.29201,                0.28635,                 7.6319,                0.91211,             0.00011432,             0.00011432,             0.00011432
                      2,                0.32993,                 0.3522,                 1.7893,                0.95022,                0.40782,                0.94093,                 0.7293,                0.65282,                0.40782,                0.94093,                 0.7293,                0.70432,                0.32944,                0.56447,                 15.318,                0.95488,             0.00024133,             0.00024133,             0.00024133
                      3,                0.37675,                0.47207,                 1.5019,                0.95196,                0.49376,                0.87214,                0.62616,                 0.5596,                0.49376,                0.87214,                0.62616,                0.53404,                0.44411,                 1.8289,                 8.3118,                 1.0847,             0.00036664,             0.00036664,             0.00036664
                      4,                0.35588,                0.37787,                 1.1695,                0.93215,                0.65103,                0.90348,                   0.92,                0.82519,                0.65103,                0.90348,                   0.92,                0.83996,                0.56487,                 1.1907,                 3.7742,                 1.1415,             0.00049025,             0.00049025,             0.00049025
                      5,                 0.4153,                0.45689,                  1.156,                0.97772,                0.00586,                0.41667,                0.00727,                0.00272,                0.00239,                    0.5,                0.00324,                0.00203,                 1.8465,                 13.834,                 172.63,                 2.2853,             0.00061216,             0.00061216,             0.00061216
                      6,                0.43266,                0.57276,                 1.1623,                0.99261,                0.07901,                0.19444,                  0.153,                0.09528,                0.06667,                0.11111,                 0.1339,                0.05793,                 2.2897,                  30.32,                 63.105,                 3.7996,             0.00073238,             0.00073238,             0.00073238
                      7,                0.44126,                0.52949,                0.95967,                0.99458,                0.07901,                0.19444,                  0.153,                0.09528,                0.06667,                0.11111,                 0.1339,                0.05793,                 2.5069,                 76.953,                    inf,                 5.3526,              0.0008509,              0.0008509,              0.0008509
                      8,                0.44739,                0.41791,                0.97313,                0.98694,                0.10925,                0.27778,                0.03053,                0.03002,                0.10789,                0.08333,                0.02986,                 0.0209,                 2.9498,                 50.701,                 121.45,                 3.8359,             0.00096772,             0.00096772,             0.00096772
                      9,                0.47593,                0.48508,                 1.0834,                0.99463,                0.41741,                0.52778,                0.33326,                0.25595,                0.41741,                0.52778,                  0.333,                0.26458,                 1.0938,                 3.7674,                 24.693,                 2.0662,              0.0010828,              0.0010828,              0.0010828
                     10,                0.46509,                0.47026,                0.94358,                0.98629,                0.36508,                0.47222,                0.43788,                0.33074,                0.36508,                0.47222,                0.38268,                 0.2298,                 1.5248,                 8.9024,                 17.201,                 2.5389,              0.0011963,              0.0011963,              0.0011963
